ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,50,27,63.1,87452,3,1.9,2,180,0,0,0,1,1
2,43,20,122.6,84270,1,4.4,1,0,0,0,0,0,0
3,52,28,128.1,43613,2,5.6,2,138,1,0,0,1,1
4,62,38,61.4,38179,1,2.1,1,53,0,1,0,0,0
5,42,16,63.6,62188,2,2.5,2,0,0,0,1,1,0
6,42,16,66.8,65099,3,3.1,1,99,0,0,0,1,0
7,62,40,46.0,45262,2,1.7,1,0,0,0,0,1,0
8,53,31,53.4,88213,1,2.5,1,0,1,0,0,1,1
9,40,14,51.9,28268,4,1.2,1,0,0,0,0,1,1
10,51,25,56.3,87866,4,2.2,2,0,0,0,0,0,0
11,40,15,72.8,96269,4,3.0,3,0,1,1,1,0,0
12,40,16,80.0,70545,1,3.2,2,0,0,1,0,0,1
13,48,26,126.8,82146,2,4.1,1,67,0,0,0,1,0
14,24,0,52.0,81966,4,2.8,1,197,1,0,0,1,0
15,26,2,104.0,49922,3,3.6,1,0,0,0,0,1,0
16,39,13,68.4,89364,1,2.9,1,0,0,0,0,0,0
17,34,9,72.4,52913,1,2.9,3,134,1,0,0,1,0
18,48,25,93.3,65677,2,4.3,1,0,0,0,0,1,0
19,35,10,49.8,59841,4,3.3,1,0,0,0,1,1,0
20,29,4,84.3,56332,2,2.6,1,0,0,0,0,1,0
21,61,37,78.1,35032,2,2.7,1,0,0,0,0,0,0
22,43,18,87.6,47846,1,3.6,2,0,0,0,0,1,0
23,46,24,81.5,69474,3,2.6,2,146,0,0,0,1,1
24,29,5,174.1,54936,3,7.4,1,0,1,0,0,0,0
25,39,17,59.0,39794,2,2.9,1,0,0,0,0,0,0
26,46,23,61.2,71588,3,2.8,1,0,0,0,0,1,1
27,32,8,59.3,80984,4,2.5,1,0,0,0,0,1,1
28,49,26,60.7,60331,1,3.2,1,0,0,0,0,1,0
29,38,14,59.0,38141,2,1.7,3,32,0,0,0,0,0
30,42,16,111.7,19074,2,4.5,2,55,1,0,0,1,1
31,38,13,121.2,16406,3,4.4,2,0,1,0,0,1,1
32,65,39,60.4,33291,3,2.9,1,61,0,0,0,1,1
33,45,22,55.1,51568,3,1.1,2,95,0,0,0,1,1
34,33,8,86.9,56851,3,3.5,2,118,0,0,0,0,0
35,54,30,60.7,64823,2,2.6,2,0,0,0,0,1,0
36,32,7,92.0,33312,4,3.1,2,0,0,0,0,0,0
37,47,25,79.1,53108,2,2.8,1,0,0,0,0,1,0
38,23,0,43.4,76918,1,1.7,2,0,0,0,0,1,0
39,30,8,126.7,44171,3,5.6,1,0,0,0,0,1,0
40,47,22,138.2,51779,3,4.9,3,0,1,0,0,1,0
41,53,31,59.5,78828,2,1.9,2,63,0,0,1,1,1
42,47,24,64.3,22411,4,3.2,2,88,0,0,0,1,0
43,44,18,81.5,67009,4,3.1,1,89,0,0,0,1,0
44,42,18,82.9,25422,2,2.8,2,0,0,0,0,1,0
45,29,4,92.8,52468,4,4.1,1,0,0,0,0,1,0
46,37,11,148.9,42371,1,5.7,1,0,0,0,0,1,1
47,40,16,69.3,67022,1,3.4,1,0,0,0,0,0,0
48,57,33,55.7,81229,1,1.8,2,0,0,0,0,1,1
49,49,27,45.5,61196,4,1.7,1,0,0,0,0,0,0
50,26,3,57.1,90354,3,2.9,1,0,0,0,0,1,0
51,49,26,72.9,36715,1,2.8,3,338,1,0,0,0,0
52,41,15,138.1,37605,2,6.0,1,0,1,0,0,1,0
53,38,15,61.5,41174,3,2.4,2,41,0,1,0,1,1
54,52,27,79.7,19956,1,4.4,1,0,0,0,0,1,0
55,56,33,73.3,86373,4,3.9,1,0,1,0,1,1,1
56,55,29,111.7,79252,3,3.7,3,0,1,0,1,0,0
57,36,13,178.5,71949,2,7.5,1,0,1,0,0,0,1
58,42,17,61.2,72646,4,2.0,2,0,0,1,0,0,0
59,49,27,62.1,80017,2,2.6,2,0,1,0,0,1,1
60,56,30,106.2,73037,4,4.3,2,0,1,1,1,1,0
61,40,18,93.6,99818,3,3.1,2,0,0,0,0,1,0
62,43,21,140.7,16548,3,6.3,1,0,0,0,0,0,0
63,33,11,90.4,83294,1,3.7,1,164,0,0,0,0,1
64,32,8,65.0,33177,4,2.4,3,0,0,0,0,1,0
65,54,30,90.6,34022,2,3.4,2,40,0,0,0,1,0
66,60,38,108.6,15542,1,4.4,3,0,1,0,0,1,1
67,44,18,98.2,70428,1,4.2,3,109,0,0,0,1,0
68,56,31,88.0,32740,3,3.4,3,199,0,0,0,1,0
69,49,24,107.1,69353,2,2.6,2,0,1,1,0,0,0
70,38,15,111.0,66532,3,4.5,1,0,0,0,0,1,0
71,49,23,119.6,26052,4,3.9,3,90,0,0,0,1,1
72,62,38,92.5,57076,1,3.6,2,0,0,0,0,0,1
73,45,23,69.5,63420,3,1.9,1,0,0,0,0,1,0
74,62,39,77.6,10671,1,2.3,3,0,0,1,0,0,1
75,23,0,112.4,10163,4,5.2,3,89,1,0,0,1,0
76,54,30,55.4,51424,3,2.0,2,56,0,0,1,0,0
77,46,22,83.9,63744,2,3.1,1,0,0,0,0,1,0
78,42,20,64.2,80331,3,2.9,1,0,0,0,0,0,0
79,46,21,74.4,20634,2,2.8,3,0,1,0,0,1,0
80,23,0,115.3,14798,2,5.9,3,0,1,0,1,1,1
81,43,19,78.8,32420,3,3.0,1,97,0,0,0,1,1
82,49,27,74.9,39300,2,3.2,1,0,0,0,0,1,0
83,61,35,45.8,99881,2,2.4,3,0,0,1,0,1,0
84,39,14,95.7,20749,2,4.8,1,0,0,0,0,0,1
85,36,12,92.4,35121,3,3.3,2,70,1,0,0,0,1
86,39,13,157.1,47487,2,6.0,3,0,1,1,0,0,1
87,55,29,66.2,43361,1,3.4,1,0,0,0,0,1,0
88,49,23,79.6,31223,3,3.7,2,0,0,0,0,0,1
89,39,15,80.4,82930,3,3.9,1,0,0,0,0,1,0
90,51,27,128.0,24056,1,4.3,1,0,0,1,0,1,0
91,46,23,71.3,38380,1,3.8,3,0,0,0,0,0,0
92,56,31,81.3,36035,1,2.8,2,0,0,0,0,0,0
93,37,15,91.2,40620,2,3.8,3,109,0,0,0,0,0
94,41,15,78.7,29877,2,3.1,2,126,0,0,0,1,0
95,41,18,63.0,65316,3,2.0,1,198,0,0,0,0,0
96,29,7,78.9,74041,3,2.3,1,0,0,0,0,0,1
97,48,25,107.3,63352,3,3.2,1,74,1,0,1,1,0
98,48,24,51.5,40911,2,2.1,1,0,0,0,0,1,0
99,45,19,77.2,42784,4,2.2,1,0,0,1,0,0,0
100,42,20,57.7,13191,2,1.6,1,0,0,0,0,0,1
101,29,7,112.0,43160,4,4.3,2,0,1,0,0,0,0
102,40,18,43.2,74641,3,0.1,3,0,0,0,0,1,0
103,41,19,60.6,59723,1,2.9,2,0,1,0,0,1,0
104,36,14,84.1,13631,3,1.9,2,0,0,0,0,0,1
105,43,20,127.5,16172,2,5.1,1,0,0,0,0,0,1
106,49,23,72.0,52080,3,2.9,1,0,0,0,0,1,0
107,66,42,60.7,99097,1,2.8,2,0,1,0,0,1,0
108,47,23,142.4,30281,1,5.7,2,0,0,0,0,0,1
109,48,24,44.4,38671,4,3.0,1,117,0,0,0,1,0
110,44,20,34.1,61431,1,1.5,3,182,0,0,0,0,0
111,24,1,86.0,38602,4,4.1,3,0,0,0,0,0,0
112,45,20,61.8,98789,2,2.0,2,0,0,0,1,1,0
113,46,20,51.6,61399,3,2.1,1,0,0,0,1,1,0
114,67,45,94.4,33472,3,4.7,3,111,0,0,0,1,0
115,43,18,80.3,59230,2,3.1,2,0,0,0,0,1,0
116,48,24,60.5,83616,2,2.5,3,0,0,0,0,1,1
117,45,20,47.1,17099,1,2.5,3,0,0,0,0,1,0
118,32,6,100.0,35431,1,3.6,3,0,0,0,0,1,1
119,58,36,92.5,66492,2,2.4,2,0,0,0,0,1,0
120,53,31,71.2,57684,3,3.0,1,133,0,1,0,1,0
121,54,28,140.7,40111,4,6.2,2,0,1,0,0,0,0
122,35,9,50.7,73936,4,1.2,2,0,0,1,0,1,1
123,60,36,43.2,32614,3,2.1,3,173,0,0,0,1,1
124,30,8,57.8,51991,3,2.7,1,262,0,0,0,1,0
125,51,26,72.5,80476,3,1.5,1,0,0,0,0,0,1
126,67,44,80.3,70920,2,2.7,3,0,1,0,0,1,0
127,34,11,67.7,73530,4,2.5,3,0,0,0,0,1,1
128,39,13,83.4,46224,3,3.2,3,106,0,0,0,0,1
129,46,22,47.6,17788,3,1.5,3,0,0,0,0,1,1
130,39,16,122.2,38082,1,4.4,2,112,0,0,0,0,0
131,28,6,71.6,99570,2,3.9,2,0,0,0,0,0,0
132,46,20,109.0,86816,2,4.3,3,0,0,0,0,1,0
133,33,8,83.1,93588,4,2.9,2,0,1,0,0,1,0
134,50,24,86.5,26531,2,3.4,2,0,1,1,0,1,0
135,35,10,90.0,98340,2,3.9,1,0,0,0,0,0,0
136,62,36,86.2,54857,4,3.5,2,0,0,0,0,1,0
